"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 11:23:46 WAT 2023","Fri Dec 01 11:23:49 WAT 2023","2491","Accounts and settings","Reseller","Child accounts","","","Get a child account's details",""
"passed","Fri Dec 01 11:23:32 WAT 2023","Fri Dec 01 11:23:34 WAT 2023","2310","Accounts and settings","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Fri Dec 01 11:21:49 WAT 2023","Fri Dec 01 11:21:52 WAT 2023","2388","Marketing","WhatsApp Campaigns","","","","Create a WhatsApp template",""
"passed","Fri Dec 01 11:14:07 WAT 2023","Fri Dec 01 11:14:10 WAT 2023","2287","Accounts and settings","Webhooks","","","","Update a webhook",""
"passed","Fri Dec 01 11:27:04 WAT 2023","Fri Dec 01 11:27:07 WAT 2023","2375","eCommerce","Categories","","","","Create/update a category",""
"passed","Fri Dec 01 11:14:52 WAT 2023","Fri Dec 01 11:14:55 WAT 2023","2280","Accounts and settings","Process","","","","Return the informations for a process",""
"passed","Fri Dec 01 11:14:33 WAT 2023","Fri Dec 01 11:14:36 WAT 2023","2306","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"passed","Fri Dec 01 11:26:42 WAT 2023","Fri Dec 01 11:26:45 WAT 2023","2838","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Fri Dec 01 11:24:00 WAT 2023","Fri Dec 01 11:24:03 WAT 2023","2402","Accounts and settings","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Fri Dec 01 11:14:45 WAT 2023","Fri Dec 01 11:14:48 WAT 2023","2356","Accounts and settings","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Fri Dec 01 11:21:47 WAT 2023","Fri Dec 01 11:21:49 WAT 2023","2286","Marketing","WhatsApp Campaigns","","","","Create and send a WhatsApp campaign",""
"failed","Fri Dec 01 11:09:46 WAT 2023","Fri Dec 01 11:09:52 WAT 2023","5409","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Fri Dec 01 11:08:43 WAT 2023","Fri Dec 01 11:08:48 WAT 2023","5465","Transactional","Email API","","","","Send a scheduled transactional email",""
"passed","Fri Dec 01 11:20:26 WAT 2023","Fri Dec 01 11:20:31 WAT 2023","5422","Transactional","WhatsApp Transactional","","","","Send a WhatsApp message",""
"passed","Fri Dec 01 11:22:43 WAT 2023","Fri Dec 01 11:22:45 WAT 2023","2354","Contact management","Lists","","","","Update a list",""
"passed","Fri Dec 01 11:26:45 WAT 2023","Fri Dec 01 11:26:47 WAT 2023","2589","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Fri Dec 01 11:24:20 WAT 2023","Fri Dec 01 11:24:22 WAT 2023","2329","Accounts and settings","Corporate","","","","Get sub-account details",""
"passed","Fri Dec 01 11:16:08 WAT 2023","Fri Dec 01 11:16:10 WAT 2023","2402","Sales CRM","Companies","","","","Delete a company",""
"passed","Fri Dec 01 11:22:53 WAT 2023","Fri Dec 01 11:22:55 WAT 2023","2354","Contact management","Folders","","","","Returns a folder's details",""
"passed","Fri Dec 01 11:26:55 WAT 2023","Fri Dec 01 11:26:57 WAT 2023","2411","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Fri Dec 01 11:14:40 WAT 2023","Fri Dec 01 11:14:43 WAT 2023","2396","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"passed","Fri Dec 01 11:12:58 WAT 2023","Fri Dec 01 11:13:00 WAT 2023","2314","Contact management","Contacts","","","","Get all folders",""
"passed","Fri Dec 01 11:13:41 WAT 2023","Fri Dec 01 11:13:43 WAT 2023","2422","Contact management","Folders","","","","Update a folder",""
"passed","Fri Dec 01 11:25:34 WAT 2023","Fri Dec 01 11:25:37 WAT 2023","2440","Sales CRM","Deals","","","","Get all deals",""
"passed","Fri Dec 01 11:23:15 WAT 2023","Fri Dec 01 11:23:17 WAT 2023","2312","Accounts and settings","Webhooks","","","","Get all webhooks",""
"passed","Fri Dec 01 11:16:15 WAT 2023","Fri Dec 01 11:16:17 WAT 2023","2276","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Fri Dec 01 11:22:48 WAT 2023","Fri Dec 01 11:22:50 WAT 2023","2452","Contact management","Folders","","","","Get all folders",""
"passed","Fri Dec 01 11:25:42 WAT 2023","Fri Dec 01 11:25:45 WAT 2023","3050","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Fri Dec 01 11:08:48 WAT 2023","Fri Dec 01 11:08:54 WAT 2023","5711","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Fri Dec 01 11:14:21 WAT 2023","Fri Dec 01 11:14:24 WAT 2023","2471","Accounts and settings","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Fri Dec 01 11:11:53 WAT 2023","Fri Dec 01 11:11:55 WAT 2023","2417","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Fri Dec 01 11:11:58 WAT 2023","Fri Dec 01 11:12:00 WAT 2023","2325","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Fri Dec 01 11:11:55 WAT 2023","Fri Dec 01 11:11:58 WAT 2023","2452","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Fri Dec 01 11:20:09 WAT 2023","Fri Dec 01 11:20:15 WAT 2023","5620","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"passed","Fri Dec 01 11:27:30 WAT 2023","Fri Dec 01 11:27:33 WAT 2023","2305","Coupons","","","","","Update a coupon collection by id",""
"passed","Fri Dec 01 11:13:43 WAT 2023","Fri Dec 01 11:13:46 WAT 2023","2545","Contact management","Folders","","","","Delete a folder (and all its lists)",""
